anc,latitude,block,offensegroup,location,sector,yblock,method,ccn,end_date,longitude,offense_text,neighborhood_cluster,shift,psa,census_tract,ward,bid,octo_record_id,district,xblock,year,report_dat,ucr_rank,offensekey,start_date,voting_precinct,offense,block_group,report_dateonly,report_time,report_hour,report_dayname,report_month,report_weeknum,is_weekend,start_hour,incident_duration_minutes,main_offense,sub_offense,offense_category,method_flag,case_openclose
6C,38.8961185228,600 - 699 block of e street ne,property,"38.8961185228,-76.9973065843",1D2,136474.43,others,25013660,2025-01-29 05:30:00,-76.9973065843,motor vehicle theft,cluster 25,midnight,108.0,8302.0,6.0,,,1.0,400233.65,2025,2025-01-29 06:23:37,8,property|motor vehicle theft,2025-01-29 00:01:00,precinct 84,motor vehicle theft,008302 1,2025-01-29,06:23:37,6,Wednesday,January,5,False,0,329.0,property,motor vehicle theft,theft,Others,Closed
7D,38.8999196635,600 - 632 block of barnes street ne,property,"38.8999196635,-76.9521789174",6D1,136897.47,others,25000676,2025-01-02 12:35:00,-76.9521789174,burglary,cluster 30,evening,601.0,9602.0,7.0,,,6.0,404148.19,2025,2025-01-02 17:10:20,5,property|burglary,2025-01-02 10:53:00,precinct 100,burglary,009602 3,2025-01-02,17:10:20,17,Thursday,January,1,False,10,102.0,property,burglary,burglary,Others,Closed
6B,38.8783967461,1400 - 1499 block of k street se,violent,"38.8783967461,-76.9845834535",1D3,134507.2846662534,gun,25018891,,-76.9845834535,robbery,cluster 26,day,106.0,7100.0,6.0,,,1.0,401337.6958071943,2025,2025-02-08 12:03:46,4,violent|robbery,2025-02-08 10:15:00,precinct 91,robbery,007100 3,2025-02-08,12:03:46,12,Saturday,February,6,True,10,,violent,robbery,robbery,Weapon,Open
2B,38.9093648355,1 - 7 block of dupont circle nw,property,"38.9093648355,-77.0441466713",2D3,137945.8,others,25017772,2025-02-06 23:00:00,-77.0441466713,theft/other,cluster 6,midnight,208.0,5502.0,2.0,dupont circle,,2.0,396171.05,2025,2025-02-06 02:06:11,6,property|theft/other,2025-02-01 19:00:00,precinct 14,theft/other,005502 3,2025-02-06,02:06:11,2,Thursday,February,6,False,19,7440.0,property,theft/other,theft,Others,Closed
8E,38.8454270908,3410 - 3499 block of 19th street se,property,"38.8454270908,-76.9766065575",7D2,130847.56,others,25024679,2025-02-19 20:51:00,-76.9766065575,motor vehicle theft,cluster 38,evening,704.0,7409.0,8.0,,,7.0,402030.79,2025,2025-02-19 20:50:52,8,property|motor vehicle theft,2025-02-19 20:15:00,precinct 116,motor vehicle theft,007409 3,2025-02-19,20:50:52,20,Wednesday,February,8,False,20,36.0,property,motor vehicle theft,theft,Others,Closed
2C,38.9045261865,1100 - 1199 block of vermont avenue nw,property,"38.9045261865,-77.0326140595",2D3,137408.25,others,25006258,2024-12-13 00:30:00,-77.0326140595,theft f/auto,cluster 8,day,207.0,10100.0,2.0,downtown,,2.0,397171.11,2025,2025-01-14 10:55:03,7,property|theft f/auto,2024-12-12 20:00:00,precinct 17,theft f/auto,010100 1,2025-01-14,10:55:03,10,Tuesday,January,3,False,20,270.0,property,theft f/auto,theft,Others,Closed
1D,38.9332876515,16th street nw and newton street nw,violent,"38.9332876515,-77.036455901",3D1,140601.13999991,gun,25015166,2025-02-01 00:24:00,-77.036455901,robbery,cluster 2,midnight,302.0,2802.0,1.0,,,3.0,396839.15001102,2025,2025-02-01 02:53:44,4,violent|robbery,2025-01-31 21:40:00,precinct 41,robbery,002802 1,2025-02-01,02:53:44,2,Saturday,February,5,True,21,164.0,violent,robbery,robbery,Weapon,Closed
4A,38.9694518736,6500 - 6599 block of georgia avenue nw,property,"38.9694518736,-77.027308864",4D1,144615.42,others,25000752,2025-01-02 13:00:00,-77.027308864,theft/other,cluster 17,day,402.0,1804.0,4.0,,,4.0,397633.43,2025,2025-01-02 13:28:47,6,property|theft/other,2025-01-02 12:25:00,precinct 61,theft/other,001804 2,2025-01-02,13:28:47,13,Thursday,January,1,False,12,35.0,property,theft/other,theft,Others,Closed
6D,38.8713891837,1500 - 1599 block of 1st street sw,property,"38.8713891837,-77.0121734039",1D3,133729.3499775315,others,25012158,2025-01-26 10:30:00,-77.0121734039,theft f/auto,cluster 9,day,105.0,6400.0,6.0,,,1.0,398943.6083809726,2025,2025-01-26 10:18:57,7,property|theft f/auto,2025-01-26 10:11:00,precinct 127,theft f/auto,006400 2,2025-01-26,10:18:57,10,Sunday,January,4,True,10,19.0,property,theft f/auto,theft,Others,Closed
7F,38.8875851411,3500 - 3599 block of b street se,property,"38.8875851411,-76.9553721105",6D3,135528.1005712008,others,25013029,2025-01-27 23:42:00,-76.9553721105,motor vehicle theft,cluster 32,midnight,603.0,7708.0,7.0,,,6.0,403871.869185546,2025,2025-01-28 01:48:46,8,property|motor vehicle theft,2025-01-27 22:15:00,precinct 132,motor vehicle theft,007708 1,2025-01-28,01:48:46,1,Tuesday,January,5,False,22,87.0,property,motor vehicle theft,theft,Others,Closed
2C,38.8978328702,600 - 699 block of 11th street nw,property,"38.8978328702,-77.0270341747",2D3,136665.08,others,25014002,2025-01-29 17:30:00,-77.0270341747,theft/other,cluster 8,evening,209.0,5802.0,2.0,downtown,,2.0,397654.88,2025,2025-01-29 20:58:11,6,property|theft/other,2025-01-29 17:20:00,precinct 129,theft/other,005802 1,2025-01-29,20:58:11,20,Wednesday,January,5,False,17,10.0,property,theft/other,theft,Others,Closed
5D,38.9012860859,800 - 899 block of 20th street ne,violent,"38.9012860859,-76.9751811976",5D3,137048.36,gun,25002803,2025-01-06 19:20:00,-76.9751811976,robbery,cluster 23,evening,507.0,8904.0,5.0,,,5.0,402152.84,2025,2025-01-06 21:00:24,4,violent|robbery,2025-01-06 19:14:00,precinct 79,robbery,008904 2,2025-01-06,21:00:24,21,Monday,January,2,False,19,6.0,violent,robbery,robbery,Weapon,Closed
8B,38.8506667815,3200 - 3299 block of 28th street se,property,"38.8506667815,-76.9679580964",7D1,131429.4304233972,others,25022576,2025-02-06 14:18:00,-76.9679580964,motor vehicle theft,cluster 36,evening,702.0,7408.0,8.0,,,7.0,402781.360672534,2025,2025-02-15 18:53:46,8,property|motor vehicle theft,2025-02-05 23:30:00,precinct 115,motor vehicle theft,007408 1,2025-02-15,18:53:46,18,Saturday,February,7,True,23,888.0,property,motor vehicle theft,theft,Others,Closed
8E,38.8448326119,1388 - 1397 block of congress street se,violent,"38.8448326119,-76.9850828301",7D2,130781.4142947958,gun,25020260,2025-02-11 00:00:00,-76.9850828301,robbery,cluster 38,midnight,705.0,7304.0,8.0,,,7.0,401294.9736631546,2025,2025-02-11 02:28:17,4,violent|robbery,2025-02-10 22:53:00,precinct 120,robbery,007304 3,2025-02-11,02:28:17,2,Tuesday,February,7,False,22,67.0,violent,robbery,robbery,Weapon,Closed
1A,38.9295168861,3100 - 3299 block of 14th street nw,property,"38.9295168861,-77.0327298633",3D1,140182.43,others,25020465,2025-02-11 13:05:00,-77.0327298633,theft/other,cluster 2,day,302.0,2802.0,1.0,,,3.0,397162.06,2025,2025-02-11 13:12:41,6,property|theft/other,2025-02-11 11:30:00,precinct 39,theft/other,002802 1,2025-02-11,13:12:41,13,Tuesday,February,7,False,11,95.0,property,theft/other,theft,Others,Closed
6D,38.8659538703,1900 - 2099 block of 1st street sw,property,"38.8659538703,-77.0121802935",1D3,133125.99,others,25022893,,-77.0121802935,theft f/auto,cluster 9,day,105.0,6400.0,6.0,capitol riverfront,,1.0,398942.93,2025,2025-02-16 13:22:34,7,property|theft f/auto,2025-02-16 12:27:00,precinct 127,theft f/auto,006400 2,2025-02-16,13:22:34,13,Sunday,February,7,True,12,,property,theft f/auto,theft,Others,Open
5E,38.91482625,100 - 199 block of seaton place nw,property,"38.91482625,-77.0132755135",3D2,138551.22,others,25027159,2025-02-24 16:30:00,-77.0132755135,theft/other,cluster 21,evening,308.0,3302.0,5.0,,,3.0,398848.67,2025,2025-02-24 18:42:46,6,property|theft/other,2025-02-24 12:00:00,precinct 19,theft/other,003302 1,2025-02-24,18:42:46,18,Monday,February,9,False,12,270.0,property,theft/other,theft,Others,Closed
6D,38.8802813797,700 - 899 block of 3rd street sw,property,"38.8802813797,-77.0151865019",1D1,134716.49,others,25001701,2025-01-04 08:42:00,-77.0151865019,theft/other,cluster 9,day,103.0,10500.0,6.0,southwest,,1.0,398682.3,2025,2025-01-04 08:53:59,6,property|theft/other,2025-01-04 08:21:00,precinct 128,theft/other,010500 2,2025-01-04,08:53:59,8,Saturday,January,1,True,8,21.0,property,theft/other,theft,Others,Closed
8F,38.8784044474,400 - 499 block of k street se,violent,"38.8784044474,-77.0000495555",1D3,134508.0266182541,gun,25022120,2025-02-14 19:45:00,-77.0000495555,robbery,cluster 27,evening,106.0,7203.0,8.0,capitol riverfront,,1.0,399995.700061949,2025,2025-02-14 22:48:04,4,violent|robbery,2025-02-14 18:59:00,precinct 131,robbery,007203 4,2025-02-14,22:48:04,22,Friday,February,7,False,18,46.0,violent,robbery,robbery,Weapon,Closed
1C,38.9262723298,16th street nw and harvard street nw,property,"38.9262723298,-77.0364888725",3D1,139822.37999919,others,25003123,2025-01-07 20:01:00,-77.0364888725,theft f/auto,cluster 2,evening,302.0,2802.0,1.0,,,3.0,396835.97999502,2025,2025-01-08 18:51:33,7,property|theft f/auto,2025-01-07 19:51:00,precinct 35,theft f/auto,002802 2,2025-01-08,18:51:33,18,Wednesday,January,2,False,19,10.0,property,theft f/auto,theft,Others,Closed
6E,38.9056436347,100 - 208 block of m street ne,property,"38.9056436347,-77.0044727163",5D1,137531.8,others,25005750,2025-01-13 12:29:00,-77.0044727163,theft f/auto,cluster 25,midnight,501.0,10603.0,6.0,noma,,5.0,399612.05,2025,2025-01-15 06:14:41,7,property|theft f/auto,2025-01-13 12:08:00,precinct 144,theft f/auto,010603 3,2025-01-15,06:14:41,6,Wednesday,January,3,False,12,21.0,property,theft f/auto,theft,Others,Closed
6B,38.8805745627,1400 - 1401 block of potomac avenue se,property,"38.8805745627,-76.9852027521",1D3,134749.03,others,25005109,2025-01-12 01:50:00,-76.9852027521,motor vehicle theft,cluster 26,midnight,106.0,6900.0,6.0,,,1.0,401283.92,2025,2025-01-12 01:51:48,8,property|motor vehicle theft,2025-01-12 01:09:00,precinct 91,motor vehicle theft,006900 2,2025-01-12,01:51:48,1,Sunday,January,2,True,1,41.0,property,motor vehicle theft,theft,Others,Closed
5B,38.9229728092,2500 - 2610 block of 10th street ne,property,"38.9229728092,-76.9924282654",5D2,139455.5,others,25008435,2025-01-18 16:05:00,-76.9924282654,theft/other,cluster 22,day,504.0,9302.0,5.0,,,5.0,400656.59,2025,2025-01-20 08:43:57,6,property|theft/other,2025-01-18 14:48:00,precinct 74,theft/other,009302 1,2025-01-20,08:43:57,8,Monday,January,4,False,14,77.0,property,theft/other,theft,Others,Closed
8F,38.8805191094,100 - 199 block of h street se,property,"38.8805191094,-77.0045410984",1D3,134742.78,others,25022235,2025-02-15 00:00:00,-77.0045410984,motor vehicle theft,cluster 27,midnight,106.0,7203.0,8.0,capitol riverfront,,1.0,399605.98,2025,2025-02-15 00:17:28,8,property|motor vehicle theft,2025-02-14 23:28:00,precinct 131,motor vehicle theft,007203 3,2025-02-15,00:17:28,0,Saturday,February,7,True,23,32.0,property,motor vehicle theft,theft,Others,Closed
7C,38.9021403061,900 - 915 block of eastern avenue ne,property,"38.9021403061,-76.9212310198",6D1,137145.840412702,others,25023712,2025-02-18 01:15:00,-76.9212310198,motor vehicle theft,cluster 31,midnight,608.0,7807.0,7.0,,,6.0,406832.5199082935,2025,2025-02-18 01:31:40,8,property|motor vehicle theft,2025-02-17 13:00:00,precinct 95,motor vehicle theft,007807 2,2025-02-18,01:31:40,1,Tuesday,February,8,False,13,735.0,property,motor vehicle theft,theft,Others,Closed
7F,38.8951875539,4500 - 4699 block of eads street ne,property,"38.8951875539,-76.9363142035",6D1,136373.0087319848,others,25011530,2025-01-25 00:36:00,-76.9363142035,motor vehicle theft,cluster 30,midnight,602.0,7803.0,7.0,,,6.0,405524.7243550799,2025,2025-01-25 04:45:06,8,property|motor vehicle theft,2025-01-25 00:04:00,precinct 98,motor vehicle theft,007803 2,2025-01-25,04:45:06,4,Saturday,January,4,True,0,32.0,property,motor vehicle theft,theft,Others,Closed
2A,38.8960181546,2100 - 2199 block of e street nw,property,"38.8960181546,-77.0473467599",2D3,136464.35,others,25012582,2025-01-27 08:00:00,-77.0473467599,theft/other,cluster 5,day,207.0,10800.0,2.0,,,2.0,395892.73,2025,2025-01-27 08:07:32,6,property|theft/other,2025-01-27 07:50:00,precinct 2,theft/other,010800 3,2025-01-27,08:07:32,8,Monday,January,5,False,7,10.0,property,theft/other,theft,Others,Closed
5E,38.9287990063,100 - 379 block of michigan avenue ne,property,"38.9287990063,-77.0044931979",4D2,140102.24,others,25005719,2025-01-08 23:00:00,-77.0044931979,motor vehicle theft,cluster 21,day,405.0,2302.0,5.0,,,4.0,399610.4,2025,2025-01-13 14:20:22,8,property|motor vehicle theft,2025-01-08 21:00:00,precinct 44,motor vehicle theft,002302 2,2025-01-13,14:20:22,14,Monday,January,3,False,21,120.0,property,motor vehicle theft,theft,Others,Closed
6E,38.9037338029,400 - 497 block of l street nw,property,"38.9037338029,-77.0175499408",1D1,137319.93,others,25024638,2025-02-19 19:13:00,-77.0175499408,theft/other,cluster 8,evening,101.0,4703.0,6.0,mount vernon triangle cid,,1.0,398477.73,2025,2025-02-19 19:13:14,6,property|theft/other,2025-02-19 17:43:00,precinct 1,theft/other,004703 3,2025-02-19,19:13:14,19,Wednesday,February,8,False,17,90.0,property,theft/other,theft,Others,Closed
2A,38.8989513537,700 - 799 block of 24th street nw,property,"38.8989513537,-77.0514289359",2D3,136790.15,others,25021938,2025-02-14 12:52:00,-77.0514289359,theft f/auto,cluster 5,day,207.0,5602.0,2.0,,,2.0,395538.79,2025,2025-02-14 13:50:06,7,property|theft f/auto,2025-02-14 12:51:00,precinct 3,theft f/auto,005602 1,2025-02-14,13:50:06,13,Friday,February,7,False,12,1.0,property,theft f/auto,theft,Others,Closed
5E,38.9145361607,1800 - 1834 block of 2nd street nw,violent,"38.9145361607,-77.0142186579",3D2,138519.03,gun,25012113,2025-01-26 06:06:00,-77.0142186579,robbery,cluster 21,day,308.0,3400.0,5.0,,,3.0,398766.87,2025,2025-01-26 07:38:39,4,violent|robbery,2025-01-26 05:56:00,precinct 19,robbery,003400 3,2025-01-26,07:38:39,7,Sunday,January,4,True,5,10.0,violent,robbery,robbery,Weapon,Closed
4B,38.9758057175,700 - 799 block of dahlia street nw,property,"38.9758057175,-77.0237023673",4D1,145320.67,others,25008194,2025-01-18 01:00:00,-77.0237023673,motor vehicle theft,cluster 17,midnight,401.0,10300.0,4.0,,,4.0,397946.15,2025,2025-01-18 02:21:46,8,property|motor vehicle theft,2025-01-17 17:00:00,precinct 63,motor vehicle theft,010300 3,2025-01-18,02:21:46,2,Saturday,January,3,True,17,480.0,property,motor vehicle theft,theft,Others,Closed
8A,38.8635345572,2300 - 2399 block of marion barry avenue se,property,"38.8635345572,-76.9739720394",6D2,132857.68,others,25022785,,-76.9739720394,motor vehicle theft,cluster 34,day,607.0,7605.0,8.0,,,6.0,402258.92,2025,2025-02-16 10:59:15,8,property|motor vehicle theft,2025-02-16 07:31:00,precinct 112,motor vehicle theft,007605 3,2025-02-16,10:59:15,10,Sunday,February,7,True,7,,property,motor vehicle theft,theft,Others,Open
1E,38.9293123985,3100 - 3199 block of sherman avenue nw,property,"38.9293123985,-77.0263054647",4D3,140159.55,others,25420391,2025-01-22 07:40:00,-77.0263054647,theft f/auto,cluster 2,midnight,409.0,3100.0,1.0,,,4.0,397719.1,2025,2025-01-30 07:00:47,7,property|theft f/auto,2025-01-21 18:30:00,precinct 38,theft f/auto,003100 1,2025-01-30,07:00:47,7,Thursday,January,5,False,18,790.0,property,theft f/auto,theft,Others,Closed
2G,38.905643753,400 - 499 block of m street nw,property,"38.905643753,-77.0175528319",3D2,137531.95,others,25420123,2025-01-06 14:05:00,-77.0175528319,theft/other,cluster 7,evening,308.0,4802.0,2.0,,,3.0,398477.52,2025,2025-01-12 16:00:35,6,property|theft/other,2025-01-06 14:04:00,precinct 18,theft/other,004802 1,2025-01-12,16:00:35,16,Sunday,January,2,True,14,1.0,property,theft/other,theft,Others,Closed
5C,38.9198458716,2400 - 2499 block of market street ne,property,"38.9198458716,-76.9528994141",5D2,139109.41,others,25026078,2025-02-22 13:15:00,-76.9528994141,theft/other,cluster 24,evening,503.0,9000.0,5.0,,,5.0,404084.55,2025,2025-02-22 16:20:52,6,property|theft/other,2025-02-22 13:10:00,precinct 139,theft/other,009000 3,2025-02-22,16:20:52,16,Saturday,February,8,True,13,5.0,property,theft/other,theft,Others,Closed
5D,38.9012753565,812 - 899 block of bladensburg road ne,property,"38.9012753565,-76.9826084878",5D3,137047.02,others,25014308,2025-01-30 13:20:00,-76.9826084878,theft/other,cluster 23,day,507.0,8903.0,5.0,,,5.0,401508.58,2025,2025-01-30 13:31:05,6,property|theft/other,2025-01-30 11:47:00,precinct 79,theft/other,008903 3,2025-01-30,13:31:05,13,Thursday,January,5,False,11,93.0,property,theft/other,theft,Others,Closed
4B,38.9661337337,300 - 399 block of sheridan street nw,property,"38.9661337337,-77.0171023667",4D1,144246.86,others,25023172,2025-02-16 23:30:00,-77.0171023667,theft f/auto,cluster 17,evening,402.0,1902.0,4.0,,,4.0,398517.85,2025,2025-02-18 20:29:15,7,property|theft f/auto,2025-02-16 16:00:00,precinct 59,theft f/auto,001902 2,2025-02-18,20:29:15,20,Tuesday,February,8,False,16,450.0,property,theft f/auto,theft,Others,Closed
5A,38.9547180101,south dakota avenue ne and jefferson street ne,violent,"38.9547180101,-76.9995287117",4D2,142979.47001812,gun,25014559,2025-01-30 19:20:00,-76.9995287117,robbery,cluster 19,evening,406.0,9508.0,5.0,,,4.0,400040.85001399,2025,2025-01-30 19:23:02,4,violent|robbery,2025-01-30 18:01:00,precinct 66,robbery,009508 1,2025-01-30,19:23:02,19,Thursday,January,5,False,18,79.0,violent,robbery,robbery,Weapon,Closed
1A,38.9271894953,2900 - 2999 block of 13th street nw,violent,"38.9271894953,-77.029707026",3D1,139923.98,gun,25018943,2025-02-08 14:30:00,-77.029707026,assault w/dangerous weapon,cluster 2,day,302.0,3000.0,1.0,,,3.0,397424.08,2025,2025-02-08 14:32:53,3,violent|assault w/dangerous weapon,2025-02-08 11:54:00,precinct 36,assault w/dangerous weapon,003000 2,2025-02-08,14:32:53,14,Saturday,February,6,True,11,156.0,violent,assault w/dangerous weapon,assault,Weapon,Closed
7F,38.8918250184,100 - 222 block of 35th street ne,violent,"38.8918250184,-76.9539795385",6D3,135998.82,gun,25024738,,-76.9539795385,assault w/dangerous weapon,cluster 32,midnight,603.0,9603.0,7.0,,,6.0,403992.45,2025,2025-02-20 01:37:24,3,violent|assault w/dangerous weapon,2025-02-19 23:25:00,precinct 102,assault w/dangerous weapon,009603 3,2025-02-20,01:37:24,1,Thursday,February,8,False,23,,violent,assault w/dangerous weapon,assault,Weapon,Open
2C,38.9056538923,1800 - 1899 block of m street nw,property,"38.9056538923,-77.0425676537",2D3,137533.79,others,25022458,2025-02-15 13:26:00,-77.0425676537,theft/other,cluster 6,day,207.0,10700.0,2.0,golden triangle,,2.0,396307.81,2025,2025-02-15 13:26:00,6,property|theft/other,2025-02-15 05:00:00,precinct 17,theft/other,010700 1,2025-02-15,13:26:00,13,Saturday,February,7,True,5,506.0,property,theft/other,theft,Others,Closed
2C,38.9054380874,1 - 1 block of thomas circle nw,property,"38.9054380874,-77.0323418139",2D3,137509.47,others,25013088,2025-01-28 00:00:00,-77.0323418139,theft/other,cluster 8,day,207.0,10100.0,2.0,downtown,,2.0,397194.76,2025,2025-01-28 07:13:03,6,property|theft/other,2025-01-28 00:00:00,precinct 17,theft/other,010100 1,2025-01-28,07:13:03,7,Tuesday,January,5,False,0,0.0,property,theft/other,theft,Others,Closed
7F,38.8966558827,4000 - 4121 block of minnesota avenue ne,property,"38.8966558827,-76.9476475094",6D1,136535.38,others,25019886,2025-02-10 11:45:00,-76.9476475094,theft/other,cluster 30,day,602.0,7803.0,7.0,,,6.0,404541.47,2025,2025-02-10 12:08:27,6,property|theft/other,2025-02-10 10:54:00,precinct 99,theft/other,007803 1,2025-02-10,12:08:27,12,Monday,February,7,False,10,51.0,property,theft/other,theft,Others,Closed
3A,38.934751414,3700 - 3749 block of newark street nw,property,"38.934751414,-77.0732898841",2D2,140765.55,others,25020130,2025-02-10 18:40:00,-77.0732898841,theft/other,cluster 14,evening,204.0,1002.0,3.0,,,2.0,393645.65,2025,2025-02-10 19:49:51,6,property|theft/other,2025-02-10 18:04:00,precinct 29,theft/other,001002 4,2025-02-10,19:49:51,19,Monday,February,7,False,18,36.0,property,theft/other,theft,Others,Closed
4B,38.9711943998,190 - 201 block of whittier street nw,violent,"38.9711943998,-77.0127386858",4D1,144808.58,gun,25008029,2025-01-17 17:55:00,-77.0127386858,robbery,cluster 19,evening,401.0,1702.0,4.0,,,4.0,398896.1,2025,2025-01-17 18:47:19,4,violent|robbery,2025-01-17 17:50:00,precinct 63,robbery,001702 2,2025-01-17,18:47:19,18,Friday,January,3,False,17,5.0,violent,robbery,robbery,Weapon,Closed
4C,38.9373434803,3700 - 3799 block of 14th street nw,property,"38.9373434803,-77.0327301113",4D3,141051.25,others,25012551,2025-01-27 04:35:00,-77.0327301113,theft/other,cluster 18,midnight,404.0,2504.0,4.0,,,4.0,397162.35,2025,2025-01-27 05:01:19,6,property|theft/other,2025-01-27 04:33:00,precinct 49,theft/other,002504 1,2025-01-27,05:01:19,5,Monday,January,5,False,4,2.0,property,theft/other,theft,Others,Closed
5C,38.9212875273,1815 - 1999 block of bryant street ne,property,"38.9212875273,-76.9771594074",5D2,139268.64,others,25012583,2025-01-27 07:00:00,-76.9771594074,theft f/auto,cluster 22,day,505.0,11100.0,5.0,,,5.0,401980.69,2025,2025-01-27 08:04:55,7,property|theft f/auto,2025-01-24 00:00:00,precinct 72,theft f/auto,011100 3,2025-01-27,08:04:55,8,Monday,January,5,False,0,4740.0,property,theft f/auto,theft,Others,Closed
3C,38.9361950358,3500 - 3599 block of connecticut avenue nw,property,"38.9361950358,-77.0588766912",2D1,140924.9,others,25022096,2025-02-14 19:00:00,-77.0588766912,theft/other,cluster 15,evening,203.0,1304.0,3.0,,,2.0,394895.4,2025,2025-02-14 19:56:55,6,property|theft/other,2025-02-14 17:43:00,precinct 34,theft/other,001304 1,2025-02-14,19:56:55,19,Friday,February,7,False,17,77.0,property,theft/other,theft,Others,Closed
1A,38.9283284531,3000 - 3099 block of sherman avenue nw,property,"38.9283284531,-77.0261609421",3D1,140050.32,others,25420107,2025-01-03 14:10:00,-77.0261609421,theft/other,cluster 2,evening,302.0,3100.0,1.0,,,3.0,397731.6,2025,2025-01-09 19:02:49,6,property|theft/other,2025-01-03 14:07:00,precinct 38,theft/other,003100 1,2025-01-09,19:02:49,19,Thursday,January,2,False,14,3.0,property,theft/other,theft,Others,Closed
2C,38.8963201536,1400 - 1499 block of pennsylvania avenue nw,property,"38.8963201536,-77.0327889857",2D3,136497.32,others,25420104,2024-12-31 23:00:00,-77.0327889857,theft f/auto,cluster 8,evening,207.0,5802.0,2.0,downtown,,2.0,397155.61,2025,2025-01-09 18:31:28,7,property|theft f/auto,2024-12-31 20:15:00,precinct 129,theft f/auto,005802 2,2025-01-09,18:31:28,18,Thursday,January,2,False,20,165.0,property,theft f/auto,theft,Others,Closed
1D,38.931840145,3200 - 3299 block of mount pleasant street nw,property,"38.931840145,-77.038582486",3D1,140440.53,others,25001576,2025-01-03 00:30:00,-77.038582486,theft f/auto,cluster 2,midnight,302.0,2702.0,1.0,,,3.0,396654.7,2025,2025-01-03 23:23:05,7,property|theft f/auto,2025-01-01 23:00:00,precinct 40,theft f/auto,002702 1,2025-01-03,23:23:05,23,Friday,January,1,False,23,1530.0,property,theft f/auto,theft,Others,Closed
5D,38.9015468006,1600 - 1699 block of maryland avenue ne,property,"38.9015468006,-76.9799376272",5D3,137077.2,others,25000625,2025-01-02 10:17:00,-76.9799376272,theft/other,cluster 23,day,507.0,8904.0,5.0,,,5.0,401740.25,2025,2025-01-02 11:31:03,6,property|theft/other,2025-01-02 09:03:00,precinct 79,theft/other,008904 1,2025-01-02,11:31:03,11,Thursday,January,1,False,9,74.0,property,theft/other,theft,Others,Closed
5C,38.927714689,1801 - 1828 block of hamlin street ne,property,"38.927714689,-76.97856964",5D2,139982.08,others,25420290,2025-01-17 16:32:00,-76.97856964,theft f/auto,cluster 22,evening,505.0,11100.0,5.0,,,5.0,401858.23,2025,2025-01-18 19:30:56,7,property|theft f/auto,2025-01-17 14:10:00,precinct 72,theft f/auto,011100 2,2025-01-18,19:30:56,19,Saturday,January,3,True,14,142.0,property,theft f/auto,theft,Others,Closed
5D,38.9038560809,1052 - 1103 block of bladensburg road ne,property,"38.9038560809,-76.980946095",5D3,137333.53,others,25004352,2025-01-10 12:40:00,-76.980946095,motor vehicle theft,cluster 23,day,506.0,8802.0,5.0,,,5.0,401652.72,2025,2025-01-10 14:24:04,8,property|motor vehicle theft,2025-01-10 08:30:00,precinct 77,motor vehicle theft,008802 1,2025-01-10,14:24:04,14,Friday,January,2,False,8,250.0,property,motor vehicle theft,theft,Others,Closed
5B,38.9357929388,3700 - 3725 block of 10th street ne,property,"38.9357929388,-76.9931319762",4D2,140878.64,others,25003854,,-76.9931319762,motor vehicle theft,cluster 20,day,405.0,9504.0,5.0,,,4.0,400595.46,2025,2025-01-09 13:06:17,8,property|motor vehicle theft,2025-01-03 16:30:00,precinct 68,motor vehicle theft,009504 1,2025-01-09,13:06:17,13,Thursday,January,2,False,16,,property,motor vehicle theft,theft,Others,Open
3C,38.9241998122,2600 - 2649 block of connecticut avenue nw,property,"38.9241998122,-77.0519031245",2D2,139592.96,others,25019051,2025-02-08 17:58:00,-77.0519031245,theft/other,cluster 15,evening,204.0,501.0,3.0,,,2.0,395499.25,2025,2025-02-08 19:30:56,6,property|theft/other,2025-02-08 16:57:00,precinct 136,theft/other,000501 1,2025-02-08,19:30:56,19,Saturday,February,6,True,16,61.0,property,theft/other,theft,Others,Closed
3F,38.9473144061,4400 - 4499 block of connecticut avenue nw,property,"38.9473144061,-77.0653443342",2D1,142159.63,gun,25015453,2025-02-01 16:30:00,-77.0653443342,theft/other,cluster 12,evening,203.0,1200.0,3.0,,,2.0,394335.54,2025,2025-02-01 17:26:25,6,property|theft/other,2025-02-01 13:26:00,precinct 33,theft/other,001200 3,2025-02-01,17:26:25,17,Saturday,February,5,True,13,184.0,property,theft/other,theft,Weapon,Closed
1D,38.9364876308,1400 - 1499 block of perry place nw,violent,"38.9364876308,-77.0335810498",4D3,140956.27,gun,25012369,2025-01-26 18:38:00,-77.0335810498,robbery,cluster 2,midnight,408.0,2801.0,1.0,,,4.0,397088.54,2025,2025-01-27 01:12:50,4,violent|robbery,2025-01-26 15:45:00,precinct 41,robbery,002801 2,2025-01-27,01:12:50,1,Monday,January,5,False,15,173.0,violent,robbery,robbery,Weapon,Closed
5E,38.9148228237,1 - 99 block of seaton place nw,property,"38.9148228237,-77.0106677549",3D2,138550.81,others,25004627,2025-01-11 00:28:00,-77.0106677549,motor vehicle theft,cluster 21,midnight,308.0,3302.0,5.0,,,3.0,399074.83,2025,2025-01-11 00:24:39,8,property|motor vehicle theft,2025-01-10 23:53:00,precinct 19,motor vehicle theft,003302 1,2025-01-11,00:24:39,0,Saturday,January,2,True,23,35.0,property,motor vehicle theft,theft,Others,Closed
